sentence_col1,sentence_col2,n_raters,mean_rating,std_dev,mean_abs_dev,difficulties,raters,pct_exact_match_with_mode,verb,verb_en,verb_casual,frame_en,frame_en_id,sent_mt_pval,verb_mt_pval,DistClass,DistClassName,translit,google_gemma-3-1b-pt,google_gemma-3-4b-pt,google_gemma-3-12b-pt,meta-llama_Llama-3.1-8B,meta-llama_Llama-3.1-70B,Qwen_Qwen3-32B,sarvamai_sarvam-1
study karna mana hona chahiye,padhna mana hona chahiye,6,4.333,2.582,2.222,"[1, 6, 6, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",66.7,पढ,study,padh,X karna mana hona chahiye,3,0.00792,0.0005,3,SinglePeakRight,casual,0.04904497857865386,0.34196539508913026,0.4963737693400879,0.6893188559361635,0.7337414885950266,0.5901769462912231,1.3436857186763842
study karna mana hona chahiye,padhna mana hona chahiye,6,4.333,2.582,2.222,"[1, 6, 6, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",66.7,पढ,study,padh,X karna mana hona chahiye,3,0.00792,0.0005,3,SinglePeakRight,formal,0.2450241682710409,0.2871870599044117,0.8935673000920487,1.1780306114292733,2.1401555355779176,1.0066264742727329,1.0736228415589475
rub karna mana hona chahiye,mitana mana hona chahiye,6,4.667,2.582,2.111,"[7, 5, 7, 2, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,मिटा,rub,mita,X karna mana hona chahiye,3,0.9566,0.00172,3,SinglePeakRight,devanagari,0.36216840533095446,0.13589284036030533,0.3340956890716152,0.44335590792964014,0.4584521404209375,1.739694339602387,0.47706718899717204
rub karna mana hona chahiye,mitana mana hona chahiye,6,4.667,2.582,2.111,"[7, 5, 7, 2, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,मिटा,rub,mita,X karna mana hona chahiye,3,0.9566,0.00172,3,SinglePeakRight,casual,1.5202598840328039,0.23018977642851302,0.15009409306318236,1.1375867054894513,1.5017870809384062,2.3450579814588104,1.7476690941381317
rub karna mana hona chahiye,mitana mana hona chahiye,6,4.667,2.582,2.111,"[7, 5, 7, 2, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,मिटा,rub,mita,X karna mana hona chahiye,3,0.9566,0.00172,3,SinglePeakRight,formal,0.5088597103019619,0.8498353983483959,0.7120705734033823,0.8998069526819776,1.129307279726699,0.5774872838352073,0.6814436752205023
wo aaram se pierce karte rahenge,wo aaram se bhedte rahenge,6,3.667,2.503,2.0,"[1, 3, 4, 1, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भेद,pierce,bhed,wo aaram se X karte rahenge,4,0.9566,0.78412,0,Uniform/Random,devanagari,0.11513995409978632,0.1671880239793706,0.16352068243444368,0.47723791386672226,0.4923633534426281,0.939708983339816,0.948225803714013
wo aaram se pierce karte rahenge,wo aaram se bhedte rahenge,6,3.667,2.503,2.0,"[1, 3, 4, 1, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भेद,pierce,bhed,wo aaram se X karte rahenge,4,0.9566,0.78412,0,Uniform/Random,casual,0.12126580737811442,0.2235721508600682,0.12956731656996165,0.726501184026433,0.9180297258593508,1.3681839035119971,1.6899543245100859
wo aaram se pierce karte rahenge,wo aaram se bhedte rahenge,6,3.667,2.503,2.0,"[1, 3, 4, 1, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भेद,pierce,bhed,wo aaram se X karte rahenge,4,0.9566,0.78412,0,Uniform/Random,formal,0.03214175897064236,0.12395943672154625,0.13906117940606966,0.4622524285518381,0.4559875341140895,0.3222100585686538,1.066495161104406
wo kal collect kar chuke the,wo kal le chuke the,5,3.8,2.49,2.16,"[2, 2, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",60.0,ले,collect,le,wo kal X kar chuke the,2,0.1628,0.40744,0,Uniform/Random,devanagari,0.14973051898467657,0.35691920330304633,0.43626899104523853,0.33791175623018693,0.4362654990851449,0.500220713532398,0.7334515666271236
wo kal collect kar chuke the,wo kal le chuke the,5,3.8,2.49,2.16,"[2, 2, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",60.0,ले,collect,le,wo kal X kar chuke the,2,0.1628,0.40744,0,Uniform/Random,casual,0.20943195150053406,1.2256207388401459,0.8331760258608681,0.6857899250485363,1.14090257827643,5.193055016430606,2.820590504890835
wo kal collect kar chuke the,wo kal le chuke the,5,3.8,2.49,2.16,"[2, 2, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",60.0,ले,collect,le,wo kal X kar chuke the,2,0.1628,0.40744,0,Uniform/Random,formal,0.24379711889394284,0.5644641897729675,0.8420603517585672,0.6102483408662293,0.748977548769,4.653712796991591,1.8930122758937078
ring karna aasan hai,bajana aasan hai,6,3.833,2.483,1.889,"[1, 6, 4, 1, 7, 4]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,बजा,ring,baja,X karna aasan hai,1,0.63538,0.00422,1,MultiPeak,devanagari,0.038354687893994606,0.04983514386195751,0.003439872414260027,0.2800692497762246,0.3351123276453192,1.4954889039230916,0.2168993759246385
ring karna aasan hai,bajana aasan hai,6,3.833,2.483,1.889,"[1, 6, 4, 1, 7, 4]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,बजा,ring,baja,X karna aasan hai,1,0.63538,0.00422,1,MultiPeak,casual,3.413709046451082,0.375317368347848,0.26413146418926425,2.286062387786326,1.857100914713773,3.132626847943586,1.9437543823782826
ring karna aasan hai,bajana aasan hai,6,3.833,2.483,1.889,"[1, 6, 4, 1, 7, 4]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,बजा,ring,baja,X karna aasan hai,1,0.63538,0.00422,1,MultiPeak,formal,0.3403146468616845,0.30128968056007516,0.08002162964950661,0.5872793692017669,0.4658166302604974,1.2632741664127634,0.6803181442390668
wo string kar rahe hain,wo piro rahe hain,6,3.167,2.483,2.167,"[1, 1, 6, 4, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,पिरो,string,piro,wo X kar rahe hain,0,0.14746,0.23084,0,Uniform/Random,devanagari,0.012929125055224647,0.06738612079817705,0.011743408000684739,0.19795202985235336,0.22725698865083122,0.32329681322373804,1.2780099490594812
wo string kar rahe hain,wo piro rahe hain,6,3.167,2.483,2.167,"[1, 1, 6, 4, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,पिरो,string,piro,wo X kar rahe hain,0,0.14746,0.23084,0,Uniform/Random,casual,0.19593518050216452,4.6499239968593065,2.595950697564505,0.8145615010607178,0.6847093191022313,2.818539053769363,2.2532627295457566
wo string kar rahe hain,wo piro rahe hain,6,3.167,2.483,2.167,"[1, 1, 6, 4, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,पिरो,string,piro,wo X kar rahe hain,0,0.14746,0.23084,0,Uniform/Random,formal,0.2416061748630926,0.7988631941805276,0.5501335320742633,1.280364984000803,0.5397387108719954,9.066539894769972,0.7494250984958052
string karna mana hona chahiye,pirona mana hona chahiye,6,4.167,2.483,2.167,"[1, 3, 6, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पिरो,string,piro,X karna mana hona chahiye,3,0.9566,0.23084,0,Uniform/Random,devanagari,0.025084254708670647,0.010063682167715535,0.04611567265946268,0.8276257854217443,0.9029027449936313,1.4634523772217365,0.6368054012032611
string karna mana hona chahiye,pirona mana hona chahiye,6,4.167,2.483,2.167,"[1, 3, 6, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पिरो,string,piro,X karna mana hona chahiye,3,0.9566,0.23084,0,Uniform/Random,casual,0.17812625143933958,0.05828714012444872,0.02321103814206735,0.8227245894458931,0.9145606041966972,0.9809172879318789,3.0417715431089265
string karna mana hona chahiye,pirona mana hona chahiye,6,4.167,2.483,2.167,"[1, 3, 6, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पिरो,string,piro,X karna mana hona chahiye,3,0.9566,0.23084,0,Uniform/Random,formal,0.19458807013937712,0.31211382807392596,0.3696559272308775,0.6468068094000835,0.9520079279159708,0.9453325117590508,3.7521288076323334
imagine karna aasan hai,sochna aasan hai,6,4.0,2.449,2.0,"[1, 6, 4, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,सोच,imagine,soch,X karna aasan hai,1,0.14746,0.00098,1,MultiPeak,devanagari,0.034675180437569626,0.022074017750219204,0.016678327308710415,0.3580911301258581,0.32806864298906296,0.40106052019424,1.8460260992462272
imagine karna aasan hai,sochna aasan hai,6,4.0,2.449,2.0,"[1, 6, 4, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,सोच,imagine,soch,X karna aasan hai,1,0.14746,0.00098,1,MultiPeak,casual,0.1252132141880633,0.31503194930392286,0.0689452085279021,0.22580296971197694,0.31053715001919524,1.517976261400848,1.3440265223440844
imagine karna aasan hai,sochna aasan hai,6,4.0,2.449,2.0,"[1, 6, 4, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,सोच,imagine,soch,X karna aasan hai,1,0.14746,0.00098,1,MultiPeak,formal,0.09906177237178505,0.07518508642271168,0.01585025942275597,0.9814531231956459,0.48759862002506643,0.14227578860091997,1.441655769362343
panic karna aasan hai,ghabrana aasan hai,8,3.75,2.435,2.0,"[1, 5, 1, 3, 2, 4, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,घबड़ा,panic,ghabra,X karna aasan hai,1,0.9769,0.35652,0,Uniform/Random,devanagari,0.007515364635116826,0.0031684665209746276,0.014633067875001095,0.12528394435038268,0.1174245089411078,1.4347128142491314,0.1618464408122212
panic karna aasan hai,ghabrana aasan hai,8,3.75,2.435,2.0,"[1, 5, 1, 3, 2, 4, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,घबड़ा,panic,ghabra,X karna aasan hai,1,0.9769,0.35652,0,Uniform/Random,casual,0.3614920951830579,0.11169299726832113,0.7155352630052069,0.9548342761739246,1.010796182929404,1.0233804853500488,1.539041015807248
panic karna aasan hai,ghabrana aasan hai,8,3.75,2.435,2.0,"[1, 5, 1, 3, 2, 4, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,घबड़ा,panic,ghabra,X karna aasan hai,1,0.9769,0.35652,0,Uniform/Random,formal,0.2702046767052718,0.9294253880354267,0.5872902700285931,0.8761267698412252,1.0540566431972855,1.8946539246413525,0.5357760238125467
