verb,verb_en,n_raters,mean_rating,std_dev,mean_abs_dev,difficulties,raters,pct_exact_match_with_mode,mt_pval
पढ,read,20,5.3,2.179,1.81,"[7, 1, 4, 7, 7, 4, 4, 7, 7, 7, 7, 6, 1, 1, 6, 7, 4, 6, 6, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",45.0,0.0003
पढ,study,20,5.2,1.989,1.52,"[6, 4, 1, 5, 6, 6, 7, 6, 6, 6, 7, 4, 7, 6, 6, 1, 1, 6, 6, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",50.0,0.0005
पिरो,string,28,4.107,2.217,2.036,"[2, 2, 1, 1, 3, 3, 1, 3, 5, 7, 6, 6, 5, 6, 2, 6, 2, 6, 6, 2, 2, 4, 1, 7, 6, 6, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",28.6,0.23084
पीस,pulverise,28,6.821,0.39,0.293,"[7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",82.1,0.0
फाड़,tear,22,6.227,1.11,0.913,"[7, 5, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 4, 6, 4, 4, 6, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",59.1,0.0
फूट,crack,28,3.929,2.089,1.735,"[4, 2, 1, 7, 5, 5, 5, 5, 2, 7, 1, 4, 6, 5, 7, 6, 1, 4, 1, 7, 2, 4, 2, 2, 4, 6, 1, 4]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",21.4,0.24424
बजा,ring,22,4.045,2.278,1.872,"[7, 6, 1, 4, 4, 6, 1, 1, 4, 6, 6, 6, 7, 2, 4, 1, 1, 1, 7, 4, 4, 6]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",27.3,0.00422
बदल,change,22,3.727,1.932,1.686,"[4, 4, 1, 2, 5, 5, 6, 2, 4, 6, 5, 5, 2, 6, 4, 1, 1, 2, 2, 2, 7, 6]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",27.3,0.16124
बना,create,28,5.536,1.895,1.449,"[4, 6, 1, 1, 7, 5, 7, 7, 7, 7, 7, 6, 7, 6, 6, 7, 7, 4, 6, 1, 6, 4, 7, 7, 6, 6, 6, 4]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",39.3,2e-05
भगा,speed,22,5.364,2.194,1.843,"[7, 7, 1, 5, 5, 5, 7, 7, 7, 7, 7, 3, 2, 7, 4, 7, 7, 6, 1, 2, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",54.5,0.00054
भाँप,gauge,28,4.25,1.669,1.375,"[3, 3, 6, 4, 5, 5, 2, 4, 7, 6, 4, 3, 3, 2, 4, 4, 6, 6, 1, 3, 4, 5, 6, 7, 3, 2, 4, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,0.36192
भेद,pierce,22,3.864,2.145,1.851,"[2, 2, 1, 3, 2, 3, 7, 4, 4, 3, 3, 7, 1, 6, 7, 5, 3, 1, 7, 6, 2, 6]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",22.7,0.78412
महक,smell,22,2.091,1.269,0.876,"[1, 2, 1, 5, 5, 2, 1, 1, 2, 1, 2, 2, 2, 2, 4, 1, 1, 4, 1, 2, 2, 2]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",45.5,0.0
मिटा,rub,20,5.25,2.149,1.65,"[6, 7, 5, 6, 6, 5, 1, 7, 7, 7, 6, 6, 7, 6, 2, 1, 1, 6, 6, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",40.0,0.00172
रो,weep,28,6.786,0.418,0.337,"[7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",78.6,0.0
